trade_num,efilename,exfilename,tradedate,scriptname,nifty,sector,quantity,entryprice,slprice,entryreason,entrytime,exitprice,exittime,exitreason,tradetype,riskreward,profitloss,capital,mistakeslearning,papertrade
23,entry_HDFCBANK_2019-02-11_10_45_22_PM.jpg,NONE,2019-02-11,HDFCBANK,None,None,5,2136.0,2149.0,shorted. it went till 2122 and started moving up. i did not booked it was showing 100rs on profits. and my trade management was messed up pretty bad.,10_45_22_PM,2130.0,10_45_22_PM,NONE,SHORT,-0.32R,-30.0,8870,SL i moved. Which got hit.,False
24,NONE,NONE,2019-02-11,HDFCBANK2,None,None,6,2136.0,2149.0,again shorted.,10_49_58_PM,2134.0,10_49_58_PM,NONE,SHORT,-0.13R,-12.0,8870,SL this also for this one.,False
25,entry_LUPIN_2019-02-11_10_52_43_PM.jpg,NONE,2019-02-11,LUPIN,None,None,14,815.5,809.2,entry,10_52_43_PM,817.0,10_52_43_PM,NONE,LONG,0.24R,21.0,8870,Got out with small profit as sl would have hit me. it went up later in day in my direction..,False
26,entry_BAJFINANCE_2019-02-11_10_56_03_PM.jpg,NONE,2019-02-11,BAJFINANCE,None,None,5,2660.0,2641.0,entry. I was long. where markets were red.,10_56_03_PM,2641.25,10_56_03_PM,NONE,LONG,-0.99R,-93.75,8870,It did not go up and my sl hit.,False
27,entry_JINDALSTEL_2019-02-11_11_01_53_PM.jpg,NONE,2019-02-11,JINDALSTEL,None,None,44,126.0,124.0,Today was issue of trade management clearly. i could have booked my profitable trades. This one went good. because 1. did not move sl. 2.keep it for long time. 3. waited.,11_01_53_PM,129.1,11_01_53_PM,NONE,LONG,1.55R,136.4,8870,Booked. at the right time.,False
28,entry_BATAINDIA_2019-02-12_10_17_17_PM.jpg,exit_BATAINDIA_2019-02-12_10_17_17_PM.jpg,2019-02-12,BATAINDIA,None,None,9,1183.0,1206.0,entry near resistance.,10_17_17_PM,1196.0,10_17_17_PM,NONE,SHORT,1.3R,117.0,8860,Booked around 1.3R. Stock did not give movement as expected.,False
29,NONE,NONE,2019-02-12,BATAINDIA,None,None,11,1187.0,1206.0,,10_21_26_PM,1198.0,10_21_26_PM,NONE,SHORT,1.38R,121.0,8860,Booked at last. i set target price at far. so it did not booked and went up near my break even later i had to booked it .,False
30,entry_CENTURYTEX_2019-02-12_10_24_02_PM.jpg,exit_CENTURYTEX_2019-02-12_10_24_02_PM.jpg,2019-02-12,CENTURYTEX,None,None,9,731.0,721.6,never go long in red markets. although it did give movement later.,10_24_02_PM,734.0,10_24_02_PM,NONE,LONG,0.32R,27.0,8860,Booked early.,False
31,entry_BPCL_2019-02-12_10_28_08_PM.jpg,exit_BPCL_2019-02-12_10_28_08_PM.jpg,2019-02-12,BPCL,None,None,47,338.9,338.9,Its okay. GOOD THING IS ONLY ONE TRADE HIT SL. REST COULD BE MANAGED WITH PROPER MANAGEMENT.,10_28_08_PM,337.0,10_28_08_PM,NONE,SHORT,-1R,-89.3,8860,SL hit..,False
32,entry_CIPLA_2019-02-12_10_31_04_PM.jpg,exit_CIPLA_2019-02-12_10_31_04_PM.jpg,2019-02-12,CIPLA,None,None,19,545.0,548.6,regret this most. i was once riding at the profits of 1R but did not booked. and incurred losses later.,10_31_04_PM,544.0,10_31_04_PM,NONE,SHORT,-0.22R,-19.0,8860,Trailing Sl hit,False
33,entry_RELIANCE_2019-02-12_10_36_27_PM.jpg,NONE,2019-02-12,RELIANCE,None,None,8,1265.5,1276.3,,10_36_27_PM,1265.0,10_36_27_PM,NONE,SHORT,-0.04R,-4.0,8860,Exited. with small loss. but could have hold it longer.,False
34,entry_LUPIN_2019-02-12_10_41_23_PM.jpg,NONE,2019-02-12,LUPIN,None,None,16,818.0,812.3,,10_41_23_PM,819.0,10_41_23_PM,NONE,LONG,0.18R,16.0,8860,bOOKED AS WAS NOT SURE,False
35,entry_HDFCBANK_2019-02-13_9_12_33_PM.jpg,exit_HDFCBANK_2019-02-13_9_12_33_PM.jpg,2019-02-13,HDFCBANK,None,None,10,2143.3,2143.3,SL HIT,9_12_33_PM,2134.0,9_12_33_PM,NONE,SHORT,-1R,-93.0,10000,Okay SL hit..,False
36,entry_KOTAKBANK_2019-02-13_9_16_56_PM.jpg,exit_KOTAKBANK_2019-02-13_9_16_56_PM.jpg,2019-02-13,KOTAKBANK,None,None,12,1298.7,1309.4,"Dont know what I was expecting from it. did not booked it four times it went to hit target. really. that 3R, 4R setting did not work. i tend to hold on to it. ",9_16_56_PM,1302.0,9_16_56_PM,NONE,SHORT,0.45R,39.6,10000,Book profits when in profits. whatever you are getting..,False
37,entry_KOTAKBANK2_2019-02-13_9_21_01_PM.jpg,exit_KOTAKBANK2_2019-02-13_9_21_01_PM.jpg,2019-02-13,KOTAKBANK2,None,None,17,1298.61,1309.4,,9_21_01_PM,1304.0,9_21_01_PM,NONE,SHORT,1R,91.63,8960,Had to book as it did not gave down side movement..,False
38,entry_BERGEPAINT_2019-02-13_9_24_58_PM.jpg,exit_BERGEPAINT_2019-02-13_9_24_58_PM.jpg,2019-02-13,BERGEPAINT,None,None,30,302.0,299.0,long on it. but exited as i was not having enough confidence on it. booked small profits.,9_24_58_PM,303.3,9_24_58_PM,NONE,LONG,0.43R,39.0,8960,Go with either one. long or short,False
39,entry_HINDPETRO_2019-02-14_11_16_19_PM.jpg,NONE,2019-02-14,HINDPETRO,None,None,23,217.3,213.3,entry. as it was gapped down. Exited with little profits. but could have made 1R if waited little longer.,11_16_19_PM,219.5,11_16_19_PM,For gappedd. always wait for pull back. and strength near support. then enter at lower price.,LONG,0.55R,50.6,9000,I could have made even more around 500.600 if i add to my positions when it was down.,False
40,NONE,NONE,2019-02-14,ITC,None,None,39,277.9,281.4,entry when markets are red.,11_21_02_PM,279.1,11_21_02_PM,NONE,SHORT,0.52R,46.8,9000,Booked at good time but it was not a good RR.,False
41,entry_ITC2_2019-02-14_11_22_26_PM.jpg,NONE,2019-02-14,ITC2,None,None,64,277.9,281.4,Added more to the position.,11_22_26_PM,280.0,11_22_26_PM,NONE,SHORT,1.5R,134.4,9000,Booked this again.,False
42,NONE,NONE,2019-02-14,ITC3,None,None,31,278.75,281.4,this one was a bad. i did not had conviction to wait.,11_24_38_PM,278.5,11_24_38_PM,NONE,SHORT,-0.09R,-7.75,9000,Exited with little loss.,False
43,entry_LUPIN_2019-02-16_7_22_28_PM.jpg,NONE,2019-02-16,LUPIN,None,None,16,796.0,790.4,Long on red markets. Understand first the overall market depth then decide to go only long or short.,7_22_28_PM,790.35,7_22_28_PM,NONE,SHORT,-113R,-90.4,9200,SL hit.,False
44,entry_SUNTV_2019-02-16_7_29_51_PM.jpg,NONE,2019-02-16,SUNTV,None,None,11,567.0,558.3,was long again in red markets.,7_29_51_PM,558.3,7_29_51_PM,NONE,LONG,-1R,-95.7,9200,SL hit,False
45,entry_SUNTV_2019-02-16_7_37_34_PM.jpg,NONE,2019-02-16,SUNTV,None,None,14,565.0,558.3,entry.,7_37_34_PM,558.3,7_37_34_PM,NONE,LONG,-1R,-93.8,9200,SL hit..,False
46,entry_TORNTPOWER_2019-02-16_7_38_52_PM.jpg,NONE,2019-02-16,TORNTPOWER,None,None,23,236.3,241.0,entry,7_38_52_PM,237.0,7_38_52_PM,NONE,SHORT,0.18R,16.1,9200,.Exited with small profits.,False
47,entry_TORNTPOWER_2019-02-16_8_07_43_PM.jpg,NONE,2019-02-16,TORNTPOWER,None,None,26,236.3,241.0,re entred again. it made low of 235.,8_07_43_PM,237.5,8_07_43_PM,NONE,SHORT,0.34R,31.2,9200,Moved trailing SL. and it hit that.,False
48,entry_ICICIBANK_2019-02-16_8_10_08_PM.jpg,NONE,2019-02-16,ICICIBANK,None,None,31,342.7,349.0,entry,8_10_08_PM,346.0,8_10_08_PM,NONE,SHORT,1.1R,102.3,9200,Booked. but it made low of 341.,False
49,entry_CENTURYTEX_2019-02-16_8_13_42_PM.jpg,NONE,2019-02-16,CENTURYTEX,None,None,10,730.0,720.55,again went long and paid the price.,8_13_42_PM,720.55,8_13_42_PM,NONE,LONG,-1R,-94.5,9200,SL hit..,False
50,entry_VOLTAS_2019-02-18_9_56_24_PM.jpg,NONE,2019-02-18,VOLTAS,None,None,14,525.0,530.5,i had two trade of it . and did not booked on time also moved sl. its better to have good volume than to increase target price.,9_56_24_PM,524.0,9_56_24_PM,NONE,SHORT,-0.15R,-14.0,9850,Trailing stop loss hit. ,False
51,NONE,NONE,2019-02-18,voltas,None,None,17,525.0,530.5,,10_09_09_PM,525.3,10_09_09_PM,NONE,SHORT,0.06R,5.1,8950,Trailing sl hit.,False
52,NONE,NONE,2019-02-18,AXISBANK,None,None,26,688.0,688.0,,10_10_32_PM,684.5,10_10_32_PM,NONE,SHORT,-1R,-91.0,9850,sl HIT.,False
53,entry_AXISBANK_2019-02-18_10_11_32_PM.jpg,NONE,2019-02-18,AXISBANK,None,None,30,692.85,699.0,,10_11_32_PM,695.0,10_11_32_PM,NONE,SHORT,0.54R,64.5,10000,Took another trade later which was not part of system process. i need to refrain from doing it,False
54,entry_OIL_2019-02-18_10_14_24_PM.jpg,NONE,2019-02-18,OIL,None,None,81,174.4,174.4,i missed critical gapped and it filled it and moved up.,10_14_24_PM,173.3,10_14_24_PM,NONE,SHORT,-1R,-89.1,8950,SL hit although it moved later down.,False
55,entry_AXISBANK_2019-02-19_7_15_44_PM.jpg,NONE,2019-02-19,AXISBANK,None,None,23,698.85,698.8,,7_15_44_PM,695.0,7_15_44_PM,NONE,SHORT,-1.01R,-88.55,8800,Booked. SL hit.,False
56,entry_BAJAJAUTO_2019-02-19_7_19_22_PM.jpg,NONE,2019-02-19,BAJAJAUTO,None,None,3,2805.25,2842.2,not a good trade. did not had conviction to hold. time to think a strategy around it,7_19_22_PM,2816.0,7_19_22_PM,NONE,SHORT,0.41R,32.25,10000,Booked but could have hold much longer.,False
57,entry_ESCORTS_2019-02-19_7_33_05_PM.jpg,NONE,2019-02-19,ESCORTS,None,None,8,634.7,646.4,not a good trade. i am okay with my SL hitting. but i need to capture big gains.,7_33_05_PM,636.0,7_33_05_PM,NONE,SHORT,0.13R,10.4,10000,Booked.,False
58,entry_ESCORTS2_2019-02-19_7_37_19_PM.jpg,NONE,2019-02-19,ESCORTS2,None,None,9,634.7,646.4,,7_37_19_PM,637.0,7_37_19_PM,NONE,SHORT,0.24R,20.7,10000,Booked.,False
59,entry_NIITTECH_2019-02-20_7_38_36_PM.jpg,NONE,2019-02-19,NIITTECH,None,None,7,1280.0,1301.0,,7_38_36_PM,1285.0,7_38_36_PM,NONE,SHORT,0.31R,35.0,10000,Booked.,False
60,entry_NIIT_2019-02-20_7_41_51_PM.jpg,NONE,2019-02-19,NIIT,None,None,7,1280.0,1301.0,,7_41_51_PM,1289.0,7_41_51_PM,NONE,SHORT,0.75R,63.0,10000,Booked..,False
61,entry_SUN_2019-02-20_7_48_39_PM.jpg,NONE,2019-02-19,SUN,None,None,18,418.45,424.4,Big profits are I should be taking care of ..,7_48_39_PM,419.5,7_48_39_PM,NONE,SHORT,0.21R,18.9,10000,Booked. i was more focused on being in green instead of getting profits.,False
62,NONE,NONE,2019-02-19,SUN2,None,None,23,418.45,424.4,,7_51_24_PM,420.5,7_51_24_PM,NONE,SHORT,0.53R,47.15,10000,Booked.,False
63,entry_TORNTPHARMA_2019-02-19_7_52_38_PM.jpg,NONE,2019-02-19,TORNTPHARMA,None,None,40,233.0,230.8,i need to focus on big gains.,7_52_38_PM,234.4,7_52_38_PM,NONE,LONG,0.64R,56.0,10000,Again booked early.,False
64,entry_AJANTAPHARMA_2019-02-22_12_04_43_AM.jpg,NONE,2019-02-22,AJANTAPHARMA,None,None,8,995.9,995.6,ENTRY.,12_04_43_AM,984.5,12_04_43_AM,NONE,SHORT,-1.03R,-91.2,10000,..,False
65,entry_HINDPETRO_2019-02-21_12_07_51_AM.jpg,NONE,2019-02-21,HINDPETRO,None,None,45,220.95,221.0,,12_07_51_AM,219.0,12_07_51_AM,NONE,SHORT,-0.97R,-87.75,10000,..,False
66,entry_TITAN_2019-02-22_12_09_04_AM.jpg,NONE,2019-02-21,TITAN,None,None,9,1033.5,1050.0,,12_09_04_AM,1040.0,12_09_04_AM,NONE,SHORT,0.65R,58.5,10000,",,.",False
67,entry_TORNTPOWER_2019-02-21_12_09_42_AM.jpg,NONE,2019-02-21,TORNTPOWER,None,None,69,239.0,237.7,,12_09_42_AM,237.7,12_09_42_AM,NONE,LONG,-1R,-89.7,10000,....,False
68,entry_SUNPHARMA_2019-02-22_12_10_54_AM.jpg,NONE,2019-02-21,SUNPHARMA,None,None,50,422.9,427.8,,12_10_54_AM,426.0,12_10_54_AM,NONE,SHORT,1.72R,155.0,10000,...,False
69,entry_AJANTA_2019-02-22_12_11_42_AM.jpg,NONE,2019-02-21,AJANTA,None,None,9,995.9,995.6,,12_11_42_AM,986.0,12_11_42_AM,NONE,SHORT,-1.03R,-89.1,10000,...,False
70,entry_HINDPETRO_2019-02-21_12_14_56_AM.jpg,NONE,2019-02-21,HINDPETRO,None,None,56,220.6,220.6,,12_14_56_AM,219.0,12_14_56_AM,NONE,SHORT,-1R,-89.6,10000,.,False
71,NONE,NONE,2019-02-22,BAJFINANCE,None,None,4,2660.0,2640.0,,12_18_14_AM,2665.0,12_18_14_AM,NONE,LONG,0.25R,20.0,10000,...,False
72,NONE,NONE,2019-02-22,BAJAJ-AUTO,None,None,8,2833.8,2841.0,,12_20_38_AM,2830.0,12_20_38_AM,NONE,SHORT,-0.35R,-30.4,10000,...,False
73,NONE,NONE,2019-02-22,BPCL,None,None,57,343.5,343.5,,12_21_11_AM,342.0,12_21_11_AM,NONE,SHORT,-1R,-85.5,10000,..,False
74,NONE,NONE,2019-02-22,BAJFINANCE,None,None,10,2667.0,2658.0,,12_22_19_AM,2658.0,12_22_19_AM,NONE,LONG,-1R,-90.0,10000,..,False
75,NONE,NONE,2019-02-22,BAJAJ-AUTO,None,None,17,2835.0,2835.0,,12_23_44_AM,2830.0,12_23_44_AM,NONE,SHORT,-1R,-85.0,10000,...,False
76,NONE,NONE,2019-02-22,LT,None,None,17,1270.0,1265.0,,12_26_23_AM,1279.5,12_26_23_AM,NONE,LONG,1.9R,161.5,10000,...,False
77,NONE,NONE,2019-02-22,YESBANK,None,None,43,218.7,221.0,,12_27_50_AM,219.0,12_27_50_AM,NONE,SHORT,0.15R,12.9,10000,...,False
78,NONE,NONE,2019-02-22,JUBLFOOD,None,None,9,1298.0,1288.0,,12_28_21_AM,1296.2,12_28_21_AM,NONE,LONG,-0.18R,-16.2,10000,....,False
79,NONE,NONE,2019-02-22,AIRTEL,None,None,62,312.75,314.8,,12_29_22_AM,313.4,12_29_22_AM,NONE,SHORT,0.46R,40.3,10000,..,False
80,NONE,NONE,2019-02-22,BAJAJ-AUTO,None,None,22,2845.0,2841.0,,12_30_57_AM,2841.0,12_30_57_AM,NONE,LONG,-1R,-88.0,10000,.,False
81,NONE,NONE,2019-02-22,LT,None,None,22,1280.0,1276.0,,12_31_30_AM,1279.45,12_31_30_AM,NONE,LONG,-0.14R,-12.1,10000,..,False
82,NONE,NONE,2019-02-22,JUBLFOOD,None,None,12,1301.0,1294.0,,12_33_04_AM,1294.0,12_33_04_AM,NONE,LONG,-1R,-84.0,10000,..,False
83,NONE,NONE,2019-02-22,BAJAJ-AUTO,None,None,17,2820.65,2835.0,,12_33_39_AM,2830.0,12_33_39_AM,NONE,SHORT,1.87R,158.95,10000,...,False
84,entry_HCLTECH_2019-02-25_10_34_05_PM.jpg,NONE,2019-02-25,HCLTECH,None,None,28,1069.8,1066.75,SL hit .bullishview but my trade management screwed up,10_34_05_PM,1066.75,10_34_05_PM,NONE,LONG,-1R,-85.4,10000,SL hit,False
85,entry_WIPRO_2019-02-25_10_37_09_PM.jpg,NONE,2019-02-25,WIPRO,None,None,28,382.5,379.5,entry.,10_37_09_PM,380.25,10_37_09_PM,NONE,LONG,-0.75R,-63.0,10000,sl hit. i moved it little.,False
86,entry_MINDTREE_2019-02-25_10_38_46_PM.jpg,NONE,2019-02-25,MINDTREE,None,None,13,906.5,899.0,entry,10_38_46_PM,907.26,10_38_46_PM,NONE,LONG,0.1R,9.88,10000,Trailing sl hit.,False
87,entry_CIPLA_2019-02-25_10_40_43_PM.jpg,NONE,2019-02-25,CIPLA,None,None,63,544.25,544.2,too tight sl. dont know why i shorted.,10_40_43_PM,543.0,10_40_43_PM,NONE,SHORT,-1.04R,-78.75,10000,SL hit.,False
88,entry_HINDUNILVR_2019-02-26_9_29_14_PM.jpg,NONE,2019-02-26,HINDUNILVR,None,None,10,1778.95,1778.3,i hurriedly shorted without thinking.,9_29_14_PM,1770.0,9_29_14_PM,NONE,SHORT,-1.08R,-89.5,10000,SL hit.,False
89,entry_INFRATEL_2019-02-26_9_31_43_PM.jpg,NONE,2019-02-26,INFRATEL,None,None,27,300.6,310.0,again this one was not a trade based on my rules. should not have taken.,9_31_43_PM,307.0,9_31_43_PM,NONE,SHORT,2.13R,172.8,10000,Booked at right time.,False
90,entry_INFRATEL_2019-02-26_9_34_08_PM.jpg,NONE,2019-02-26,INFRATEL,None,None,27,300.6,310.0,out of system trade.,9_34_08_PM,308.0,9_34_08_PM,NONE,SHORT,3.7R,199.8,10000,Booked. ,False
91,NONE,NONE,2019-02-26,HINDUNILVR,None,None,15,1779.37,1779.37,,9_35_43_PM,1774.87,9_35_43_PM,NONE,SHORT,-1R,-67.5,10000,SL hit..,False
92,entry_ADANIPORTS_2019-02-28_10_13_00_PM.jpg,NONE,2019-02-28,ADANIPORTS,None,None,72,326.5,330.3,Shorted.,10_13_00_PM,328.0,10_13_00_PM,NONE,SHORT,0.65R,108.0,10000,Booked.,False
93,entry_YESBANK_2019-02-28_10_18_39_PM.jpg,NONE,2019-02-28,YESBANK,None,None,55,229.3,233.0,this time i was aggressive. and did not gave it my profits.,10_18_39_PM,230.0,10_18_39_PM,NONE,SHORT,0.23R,38.5,10000,My trailing sl hit. but thats okay.,False
94,entry_SUNTV_2019-02-28_10_21_01_PM.jpg,NONE,2019-02-28,SUNTV,None,None,69,590.39,597.4,But not the movement I was expecting. but lucky to get out with profits.,10_21_01_PM,595.0,10_21_01_PM,NONE,SHORT,1.92R,318.09,10000,Booked around very good profits.,False
95,entry_SRTRANSFIN_2019-02-28_10_23_21_PM.jpg,NONE,2019-02-28,SRTRANSFIN,None,None,21,1138.15,1138.0,SL hit. bad trade and entered again,10_23_21_PM,1134.0,10_23_21_PM,NONE,SHORT,-1.04R,-87.15,10000,SL hit.,False
96,entry_COALINDIA_2019-02-28_10_24_44_PM.jpg,NONE,2019-02-28,COALINDIA,None,None,64,225.45,225.3,Strange i was taking only 1 % for SL hits.,10_24_44_PM,224.0,10_24_44_PM,NONE,SHORT,-1.12R,-92.8,10000,SL hit for it.,False
97,entry_SRTRANSFIN_2019-02-28_10_27_13_PM.jpg,NONE,2019-02-28,SRTRANSFIN,None,None,25,1133.9,1138.0,again shorted. but SL moved that is good.,10_27_13_PM,1134.0,10_27_13_PM,NONE,SHORT,0.03R,2.5,10000,SL hit.,False
98,entry_DHFL_2019-02-28_10_29_56_PM.jpg,NONE,2019-02-28,DHFL,None,None,208,128.6,130.1,Booked but it went till my SL and moved down,10_29_56_PM,129.3,10_29_56_PM,NONE,SHORT,0.88R,145.6,10000,Booked.,False
99,entry_JETAIRWAYS_2019-03-01_8_45_30_PM.jpg,NONE,2019-03-01,JETAIRWAYS,None,None,62,232.45,236.3,Was gapped and I moved my SL. And saved. Making sure not tobe in big losses.,8_45_30_PM,233.5,8_45_30_PM,NONE,SHORT,0.37R,65.1,10000,Trailing SL hit,False
100,entry_SUNPHARMA_2019-03-01_8_48_31_PM.jpg,NONE,2019-03-01,SUNPHARMA,None,None,64,447.28,449.7,Once again. Trailing sl saved me. Capital saved is capital earned.,8_48_31_PM,447.0,8_48_31_PM,NONE,SHORT,-0.1R,-17.92,10000,SL hit.,False
101,entry_ESCORTS_2019-03-02_8_52_01_PM.jpg,NONE,2019-03-01,ESCORTS,None,None,58,666.05,664.2,"good that i was trailing sl but became slightly aggressive. and looking at 3 min tf which was not good. atleast 5 min or 10,",8_52_01_PM,666.0,8_52_01_PM,NONE,LONG,-0.03R,-2.9,10000,Trailing sl hit...,False
102,entry_HCLTECH_2019-03-02_8_54_53_PM.jpg,NONE,2019-03-01,HCLTECH,None,None,41,1054.5,1061.1,It could have been a great trade. but overall good. but took only 1 % of capital,8_54_53_PM,1059.0,8_54_53_PM,NONE,SHORT,2.14R,184.5,10000,Booked..,False
103,NONE,NONE,2019-03-01,ADANIPORTS,None,None,102,330.61,331.7,was good short but markets were green.,8_57_09_PM,330.0,8_57_09_PM,NONE,SHORT,-0.36R,-62.22,10000,Glad trailing sl hit.,False
104,entry_TITAN_2019-03-02_9_02_36_PM.jpg,NONE,2019-03-01,TITAN,None,None,35,1023.0,1018.0,Trailing SL hit. Could in profits if held on to original stop.,9_02_36_PM,1022.7,9_02_36_PM,NONE,LONG,-0.06R,-10.5,10000,Booked.,False
