trade_num,efilename,exfilename,tradedate,scriptname,nifty,sector,quantity,entryprice,slprice,entryreason,entrytime,exitprice,exittime,exitreason,tradetype,riskreward,profitloss,capital,mistakeslearning,papertrade
13,entry_YESBANK_2018-11-28_NONE.jpg,exit_YESBANK_2018-11-28_NONE.jpg,11/28/2018,YESBANK,none,none,21,175.0,170.8,going below support.,NONE,170.8,NONE,stop loss hit.,LONG,-1R,-88.2,8700,it went too down. did not expected that. Stop loss hit. IMPORTANT THING IS TO WATCH PRICE ACTION FOR UP MOVEMENT. THEN ONLY ENTER. FOR REVERSAL,True
14,entry_INDIANB_2018-11-28_NONE.jpg,exit_INDIANB_2018-11-28_NONE.jpg,11/28/2018,INDIANB,none,none,20,0.0,235.8,shorting in advanced. lets see,NONE,231.5,NONE,,SHORT,0R,0.0,8700,no trade for this as it did not recover little however my directional view was correct that is the good thing. I may be i should try to just short it from there and add to the position when in advanced when it moved up. ?,True
15,entry_CHENNPETRO_2018-11-28_NONE.jpg,exit_CHENNPETRO_2018-11-28_NONE.jpg,11/28/2018,CHENNPETRO,none,none,23,265.1,272.3,gone below resistance line,NONE,268.5,NONE,booked full as momemtum is lost.,SHORT,0.89R,78.2,8700,"good trade it is, went till 1 PM. booked when momemtum is lost.",True
16,entry_DRREDDY_2018-11-28_NONE.jpg,exit_DRREDDY_2018-11-28_NONE.jpg,11/28/2018,DRREDDY,none,none,5,0.0,2609.0,shorting from resistance line,NONE,2590.0,NONE,,SHORT,0R,0.0,8700,price did not moved up at my short price hence no trade for this. however i could setup a buy with below line.,True
17,entry_RELIANCE_2018-11-28_NONE.jpg,exit_RELIANCE_2018-11-28_NONE.jpg,11/28/2018,RELIANCE,none,none,11,1151.0,1158.0,shorting in advanced.,NONE,1150.0,NONE,,SHORT,-0.12R,-11.0,8700,price did not moved down as expected nor sl hit so exited at around breakeven with small loss,True
18,entry_NIITTECH_2018-11-29_NONE.jpg,exit_NIITTECH_2018-11-29_NONE.jpg,11/29/2018,NIITTECH,GREEN,DDOWN,6,1083.5,1111.0,below resistance line. AND previous candle closed below it.,NONE,1096.0,NONE,exited as it did not move down further.,SHORT,0.83R,75.0,8700,SHORTED THIS STOCK. BUT NOT A GOOD MOVE IT GAVE.,True
19,entry_UJJIVAN_2018-11-29_NONE.jpg,exit_UJJIVAN_2018-11-29_NONE.jpg,11/29/2018,UJJIVAN,GREEN,none,22,219.0,215.0,above resistance line.,NONE,215.0,NONE,SL HIT.,LONG,-1R,-88.0,8700,LOOKING AT THE DAILY TIME FRAME SEEMS LIKE A CONTRADICTING LINE SO THIS SHOULD NOT HAVE TAKEN PLACE. JUST AVOID ANY CONFUSING LINE . IT'S JUST NOT WORTH IT.,True
20,entry_TATAGLOBAL_2018-11-29_NONE.jpg,exit_TATAGLOBAL_2018-11-29_NONE.jpg,11/29/2018,TATAGLOBAL,GREEN,UP,44,215.5,213.5,above support line.,NONE,219.6,NONE,Target hit. booked full.,LONG,2.05R,180.4,8700,Okay this long trade went good. ASK ME Y.? BECAUSE I ENTERED AT THE MARKET TIME ONLY AND DID NOT PLACED IN ADVANCED.,True
21,entry_CHENNPETRO_2018-11-29_NONE.jpg,exit_CHENNPETRO_2018-11-29_NONE.jpg,11/29/2018,CHENNPETRO,GREEN,UP,20,277.8,280.8,shorted in advanced.,NONE,276.5,NONE,it did not pull back from the line not sl hit.,SHORT,-0.3R,-26.0,8700,This advanced thing did not work. instead it went further up. look what price is doing then react accordingly. IT HAD MULTIPLE SUPPORT.,True
22,entry_ARTL_2018-11-29_NONE.jpg,exit_BHARTIARTL_2018-11-29_NONE.jpg,11/29/2018,BHARTIARTL,GREEN,UP,33,308.1,305.5,NO TRADE.buying at the support point.,NONE,0.0,NONE,NO TRADE,LONG,0R,0.0,8700,ONCE AGAIN MY LONG GOING STOCKS DID NOT RETRACE DOWN AS THEY WENT UP LATER.,True
23,entry_RELICANCE_2018-11-29_NONE.jpg,exit_RELICANCE_2018-11-29_NONE.jpg,11/29/2018,RELIANCE,GREEN,UP,8,1056.5,1045.0,NO TRADE. advanced buying ,NONE,0.0,NONE,NO TRADE,LONG,0R,0.0,8700,DID NOT EXECUTE THIS LONG TRADE TOO. IN ALL GREEN MARKET PRICES RARELY GO BELOW LEVELS. KEEP THAT IN MIND.,True
24,entry_DRREDDY_2018-11-29_NONE.jpg,exit_DRREDDY_2018-11-29_NONE.jpg,11/29/2018,DRREDDY,GREEN,UP,9,2618.0,2618.0,SL hit. went above the line.,NONE,2608.0,NONE,,SHORT,-1R,-90.0,0,My VIEWS AND ASSUMPTIONS DID NOT WORK AS MARKETS ARE IN DEEP GREEN HENCE S/R MIGHT LET THEN STOP TEMPORARILY BUT EVENTUALLY THEY WOULD MOVE UP. FOR SHORTING MAY BE I WOULD LOWER MY TARGETS.,True
25,entry_GAIL_2018-11-29_NONE.jpg,exit_GAIL_2018-11-29_NONE.jpg,11/29/2018,GAIL,GREEN,UP,19,0.0,350.8,NO TRADE. below resistance. shorting in advanced.,NONE,346.1,NONE,target 2 R,SHORT,0R,0.0,8700,TRADE NOT EXECUTED.,True
26,entry_HINDPETRO_2018-11-29_NONE.jpg,exit_HINDPETRO_2018-11-29_NONE.jpg,11/29/2018,HINDPETRO,GREEN,UP,46,243.6,243.6,shorting as below resistance line,NONE,241.6,NONE,SL hit.,SHORT,-1R,-92.0,8700,markets were severely up. it hence most of the stocks crossed my sr line. this one too. MAKE SURE TO GO LONG ONLY WHEN MARKETS ARE IN GREEN.,True
27,entry_ACC_2018-11-30_10_19_31_AM.jpg,exit_ACC_2018-11-30_NONE.jpg,11/30/2018,ACC,none,none,15,1491.0,1491.0,moved above the resistance line.,10_19_31 AM,1485.0,NONE,sl hit.,SHORT,-1R,-90.0,8700,since market was in uptrend . also previous candle is green showing trend as up.,True
28,entry_TATAGLOBAL_2018-11-30_10_24_17_AM.jpg,exit_TATAGLOBAL_2018-11-30_NONE.jpg,11/30/2018,TATAGLOBAL,GREEN,UP,29,216.8,213.8,above the suppot line,10_24_17 AM,219.0,NONE,No movement.,LONG,0.73R,63.8,8700,my all bullish stocks did not gave movement.,True
29,entry_DHFL_2018-11-30_10_27_33_AM.jpg,exit_DHFL_2018-11-30_NONE.jpg,11/30/2018,DHFL,none,none,44,212.5,212.5,above the resistance.,10_27_33 AM,210.5,NONE,SL HIT,SHORT,-1R,-88.0,8700,NEVER EVER SHORT. BULLISH MARKET.,True
30,entry_WIPRO_2018-11-30_10_29_28_AM.jpg,exit_WIPRO_2018-11-30_NONE.jpg,11/30/2018,WIPRO,GREEN,UP,27,325.5,325.5,at the resistance line.,10_29_28 AM,322.3,NONE,SL HIT.,SHORT,-1R,-86.4,8700,Stop hit. for Wipro. index was up. previous candle showing bullishness. with pin bar. ,True
31,entry_hindpetro_2018-11-30_10_33_47_AM.jpg,exit_hindpetro_2018-11-30_10.58.jpg,11/30/2018,hindpetro,none,none,48,242.6,240.8,touching the support.,10_33_47 AM,241.0,10.58,exited as previous candles were red and it can move more below,LONG,-0.89R,-76.8,0,exited as previous candles were red and it can move more below. HOW COULD I ASSUME IT TO BE AT THE SUPPORT THEN TREND ITSELF SAYING TO GO SHORT.,True
32,entry_niittech_2018-11-30_10_38_39_AM.jpg,exit_niittech_2018-11-30_NONE.jpg,11/30/2018,niittech,none,none,17,1109.0,1109.0,touching the resistance,10_38_39 AM,1104.0,NONE,SL hit .,SHORT,-1R,-85.0,8700,another one my sl hit and moved down. i really need to make sure my stop loss is in proper position.,True
33,entry_bajajfinsv_2018-11-30_11_00_57_AM.jpg,exit_bajajfinsv_2018-11-30_NONE.jpg,11/30/2018,bajajfinsv,none,none,2,5970.0,5934.0,at the support.,11_00_57 AM,6010.0,NONE,NO MOVEMENT. EXITED.,LONG,1.11R,80.0,8700,although it did not give movement but it sustains above the line price.,True
34,entry_RELIANCE_2018-12-03_9_23_56_AM.jpg,exit_RELIANCE_2018-12-03_NONE.jpg,12/3/2018,RELIANCE,GREEN,UP,7,1155.0,1142.0,buying at the support,9_23_56_AM,1158.0,NONE,exited as did not move much,LONG,0.23R,21.0,8700,Triggered and it went down. but did not move up much.,True
35,entry_BHARATFORG_2018-12-03_9_28_17_AM.jpg,exit_BHARATFORG_2018-12-03_NONE.jpg,12/3/2018,BHARATFORG,GREEN,UP,25,563.0,559.5,BUYING ABOVE THE SUPPORT.,9_28_17_AM,567.0,NONE,sl not  hit as entry did not triggered,LONG,1.14R,100.0,8700,Range movement after moving up..,True
36,entry_tvs_2018-12-03_9_30_23_AM.jpg,exit_tvs_2018-12-03_NONE.jpg,12/3/2018,tvs,GREEN,UP,22,548.5,544.5,entry buy above the support,9_30_23_AM,556.0,NONE,,LONG,1.88R,165.0,8700,Good move but lets see how much it goes. stopped at 556 then moved down.,True
37,entry_relcapital_2018-12-03_9_36_22_AM.jpg,exit_relcapital_2018-12-03_NONE.jpg,12/3/2018,relcapital,none,none,44,226.5,224.5,moving up from resistance.,9_36_22_AM,233.0,NONE,,LONG,3.25R,286.0,8700,Very good move intra-day for the stock,True
38,entry_torrentpower_2018-12-03_9_40_47_AM.jpg,exit_torrentpower_2018-12-03_NONE.jpg,12/3/2018,torrentpower,none,none,44,274.0,274.0,entry as per system,9_40_47_AM,272.0,NONE,SL hit.,SHORT,-1R,-88.0,8700,proper sl should be maintained. otherwise this would have been profitable too,True
39,entry_torrentpower_2018-12-04_9_29_45_AM.jpg,exit_torrentpower_2018-12-04_NONE.jpg,12/4/2018,torrentpower,RED,DDOWN,26,262.5,274.1,SIMPLE RULE FOR ENTRY SHORTING NEAR MY CRITICAL ZONE,9_29_45_AM,270.8,NONE,booked,SHORT,2.52R,215.8,8700,A GREAT IDEAL MOVE. WITH BEST RISK TO REWARD.,True
40,entry_ultracemnco_2018-12-04_9_31_37_AM.jpg,exit_ultracemnco_2018-12-04_NONE.jpg,12/4/2018,ultracemnco,RED,DDOWN,3,4023.0,4097.0,OPEN INSIDE THE RANGE. FIRST IT MOVEUP THEN STARTED MOVING DOWN,9_31_37_AM,4069.0,NONE,BOOKED,SHORT,1.64R,138.0,8700,BOOKED AROUND 255pm. DO I HAVE THAT PATIENCE. CONVICTION IN MY TRADES TO HOLD LONGER,True
41,entry_chennpetro_2018-12-04_9_35_52_AM.jpg,exit_chennpetro_2018-12-04_NONE.jpg,12/4/2018,chennpetro,RED,DDOWN,38,271.8,280.5,near my ZONE,9_35_52_AM,278.2,NONE,bookedfull,SHORT,2.78R,243.2,0,"booked full, ideally target is achieved 2.78R",True
42,entry_acc_2018-12-04_9_40_24_AM.jpg,exit_acc_2018-12-04_NONE.jpg,12/4/2018,acc,RED,DDOWN,5,1505.0,1543.0,near resistance. ACC I MISSED MY EARLY  ENTRY HIGHLY REWARDING BUT VERY RISKY AS TRYING TO CAPTURE THE VERY TOP OR BOTTOM IS NOT GOOD.,9_40_24_AM,1527.0,NONE,booked full,SHORT,1.38R,110.0,8700,booked full,True
43,entry_indigo_2018-12-04_9_43_29_AM.jpg,exit_indigo_2018-12-04_NONE.jpg,12/4/2018,indigo,RED,DDOWN,5,992.0,1007.0,LOOKED TO SHORT FROM MY IDENTIFIED RESISTANCE. BUT SEEMS IT DID NOT MOVED DOWN.,9_43_29_AM,989.0,NONE,did not gave expected movement. stopped with loss,SHORT,-0.17R,-15.0,8700,ISSUE SEEMS THAT PREVIOUS CANDLE WAS REALLY LARGE AND SEEMS ALREADY HAD MOVEMENT HENCE NO POINT IN SHORTING.,True
44,entry_bpcl_2018-12-04_9_45_40_AM.jpg,exit_bpcl_2018-12-04_NONE.jpg,12/4/2018,bpcl,RED,DDOWN,31,332.3,332.3,was looking to short but bpcl was already moving up.,9_45_40_AM,329.5,NONE,SL HIT,SHORT,-1R,-86.8,8700,stopped,True
45,entry_tataglobal_2018-12-04_9_50_16_AM.jpg,exit_tataglobal_2018-12-04_NONE.jpg,12/4/2018,tataglobal, RANGEBOUND,DDOWN,97,215.7,214.8,MADE SL ENTRY IN ADVANCED.IT HIT THAT THEN MOVED DOWN.,9_50_16_AM,214.8,NONE,,LONG,-1R,-87.3,8700,SL hit. OKAY THE PART OF THE GAME.,True
46,entry_CHENNPETRO_2018-12-05_9_27_25_AM.jpg,exit_CHENNPETRO_2018-12-05_NONE.jpg,12/5/2018,CHENNPETRO,RED,DDOWN,32,271.3,279.9,sL ENTRY ENTERED IN ZONE,9_27_25_AM,277.2,NONE,exited. Target achieved.,SHORT,2.19R,188.8,8700,MADE SL ENTRY BELOW THE ZONE. I THINK THIS IS MORE BETTER/ AND PROPER EXECUTED STRATEGY. NO HURRY,True
47,entry_hexa_2018-12-05_9_33_21_AM.jpg,exit_hexa_2018-12-05_NONE.jpg,12/5/2018,hexa,RED,DDOWN,22,0.0,336.5,NO-TRADE..near my zone. made SL entry but no trade,9_33_21_AM,332.5,NONE,,SHORT,0R,0.0,8700,ALTHOUGH MY VIEW WAS CORRECT BUT MY ENTRY MESSED UP OR BETTER I SHOULD HAVE PUT AN STOP-LOSS ORDER BELOW THE ZONE.,True
48,entry_BPCL_2018-12-07_9_12_30_AM.jpg,exit_BPCL_2018-12-07_NONE.jpg,12/7/2018,BPCL,GREEN,UP,30,0.0,331.9,NO TRADE: NEAR MY RESISTANCE.,9_12_30_AM,329.0,NONE,,SHORT,0R,0.0,8700,DID NOT TRIGGERED THIS TRADE TOO. I NEED TO BE VERY QUICK IN THIS.,True
49,entry_chennpetro_2018-12-07_9_24_16_AM.jpg,exit_CHENNPETRO_2018-12-07_NONE.jpg,12/7/2018,CHENNPETRO, RANGEBOUND,UP,24,0.0,280.2,NO TRADE..near my resistancezone,9_24_16_AM,276.5,NONE,,SHORT,0R,0.0,0,Missed this trade. SL entry missed by 50paise. otherwise would have been a good trade.,True
50,entry_bharatfin_2018-12-07_9_28_43_AM.jpg,exit_bharatfin_2018-12-07_NONE.jpg,12/7/2018,bharatfin, RANGEBOUND,DDOWN,7,980.1,966.8,buy sl entry,9_28_43_AM,995.0,NONE,at the target,LONG,1.12R,104.3,8700,This SL entry also triggered and did not hit SL. good trade.,True
51,entry_ARTL_2018-12-07_9_36_18_AM.jpg,exit_BHARTIARTL_2018-12-07_NONE.jpg,12/7/2018,BHARTIARTL,GREEN,UP,25,302.2,298.7,BUY Sl entry,9_36_18_AM,305.0,NONE,at target,LONG,0.8R,70.0,8700,this  was also a SL entry for buy. i did triggered well and thankfully my SL did not hit. due to my zone boundaries.,True
52,entry_RELIANCE_2018-12-07_9_45_32_AM.jpg,exit_RELIANCE_2018-12-07_NONE.jpg,12/7/2018,RELIANCE,GREEN,UP,6,1110.0,1096.5,BUY. SL entry,9_45_32_AM,1133.0,NONE,at the target,LONG,1.7R,138.0,8700,First time my Sl triggered correctly. and caught the exact bottom.,True
53,entry_ACC_2018-12-07_9_57_59_AM.jpg,exit_ACC_2018-12-07_NONE.jpg,12/7/2018,ACC,GREEN,UP,6,0.0,1494.0,NO TRADE: SHORT: SL Entry,9_57_59_AM,1480.0,NONE,,SHORT,0R,0.0,8700,TRADE DID NOT EXECUTE. AS IT DID NOT MOVE UP MUCH.,True
54,entry_torrentpower_2018-12-07_10_26_57_AM.jpg,exit_torrentpower_2018-12-07_NONE.jpg,12/7/2018,torrentpower,GREEN,UP,24,0.0,272.5,NO TRADE: SHORT: SL entry,10_26_57_AM,268.9,NONE,,SHORT,0R,0.0,8700,no trade,True
55,entry_hindalco_2018-12-07_10_29_08_AM.jpg,exit_hindalco_2018-12-07_NONE.jpg,12/7/2018,hindalco,GREEN,UP,31,218.1,215.3,near the support SL entry,10_29_08_AM,221.0,NONE,at the target.,LONG,1.04R,89.9,8700,WAS IN DOWN. NEAR MY SUPPORT LEVEL. GOOD TRADE.,True
56,entry_TATAELXI_2018-12-10_8_43_51_AM.jpg,exit_TATAELXI_2018-12-10_NONE.jpg,12/10/2018,TATAELXI,none,none,8,971.8,959.5,NO TRADE: advanced buying. at the market open.,8_43_51_AM,0.0,NONE,,LONG,0R,0.0,10293,AVOID GAPPED MARKETS. ,True
57,entry_JET_2018-12-10_8_45_52_AM.jpg,exit_JET_2018-12-10_NONE.jpg,12/10/2018,JET,none,none,18,262.8,256.8,SL HIT:  advanced buy,8_45_52_AM,256.8,NONE,,LONG,-1R,-108.0,10290,loggde at market open.915,True
58,entry_bharatfin_2018-12-10_8_47_47_AM.jpg,exit_bharatfin_2018-12-10_NONE.jpg,12/10/2018,bharatfin,none,none,14,977.0,969.4,advancd buying.. right at market open,8_47_47_AM,995.0,NONE,,LONG,2.37R,252.0,10293,TRADED GOOD EVEN THOUGH IT WAS GAPPED DOWN LITTLE.,True
59,entry_ARTL_2018-12-10_8_49_31_AM.jpg,NONE,12/10/2018,ARTL,none,none,31,301.2,297.9,NO TRADE .advancd buying...,8_49_31_AM,0.0,NONE,,LONG,0R,0.0,0,CHECK INTRADAY OPEN PRICES AND IF IT GOES BELOW THE BUY PRICE OR GAPPED DOWN THEN NO TRADE.,True
60,entry_DRREDDY_2018-12-10_8_51_05_AM.jpg,exit_DRREDDY_2018-12-10_NONE.jpg,12/10/2018,DRREDDY,none,none,4,2606.0,2580.5,NO TRADE: advanced buy,8_51_05_AM,0.0,NONE,,LONG,0R,0.0,0,logged,True
61,entry_REPCOHOME_2018-12-10_8_53_41_AM.jpg,exit_REPCOHOME_2018-12-10_NONE.jpg,12/10/2018,REPCOHOME,none,none,26,329.8,325.9,SL HIT: advanced buy,8_53_41_AM,325.9,NONE,,LONG,-1R,-101.4,0,Markets were severely gapped down due to election results. SL HIT.,True
62,entry_INDIGO_2018-12-10_8_55_38_AM.jpg,exit_INDIGO_2018-12-10_NONE.jpg,12/10/2018,INDIGO,none,none,7,985.7,971.7,NO TRADE: advanced buy,8_55_38_AM,,NONE,,LONG,0R,0.0,0,logged,True
63,entry_CHENNPETRO_2018-12-10_8_58_37_AM.jpg,NONE,12/10/2018,CHENNPETRO,none,none,34,0.0,280.4,NO TRADE: short in advanced.,8_58_37_AM,277.4,NONE,,SHORT,0R,0.0,0,loggd,True
64,entry_TORNTPOWER_2018-12-10_9_01_27_AM.jpg,NONE,12/10/2018,TORNTPOWER,none,none,28,0.0,272.8,NO TRADE: short in advanced,9_01_27_AM,269.1,NONE,,SHORT,0R,0.0,10200,loggeed,True
65,entry_voltas_2018-12-10_9_03_34_AM.jpg,exit_voltas_2018-12-10_NONE.jpg,12/10/2018,voltas,none,none,14,0.0,562.6,NO TRADE: short advanced,9_03_34_AM,555.2,NONE,,SHORT,0R,0.0,10200,no trade,True
66,entry_WIPRO_2018-12-10_9_23_54_AM.jpg,exit_WIPRO_2018-12-10_NONE.jpg,12/10/2018,WIPRO,RED,UP,19,326.0,339.7,near the resistance.,9_23_54_AM,334.4,NONE,exited at  target,SHORT,1.58R,159.6,10200,SEEMS TRADE SEEMS TO  BE CORRECT BUT MY RISK SEEMS TO BE HIGH HENCE  FOR EVEN 1.5R I HAD TO WAIT FOR COMPLETE TREND. DO I HAVE THAT PATIENCE.?,True
67,entry_HINDPETRO_2018-12-18_9_41_21_PM.jpg,NONE,12/18/2018,HINDPETRO,None,None,32,0.0,243.4,no trade SL Entry: buy at market open,9_41_21_PM,240.2,NONE,,SHORT,0R,0.0,0,930. No trade,True
68,entry_HINDALCO_2018-12-18_9_46_41_PM.jpg,NONE,12/18/2018,HINDALCO,None,None,28,0.0,234.4,no trade,9_46_41_PM,230.7,NONE,,SHORT,0R,0.0,0,930 no trade,True
69,entry_RELIANCE_2018-12-18_9_50_43_PM.jpg,NONE,12/18/2018,RELIANCE,None,None,7,1112.4,1098.0,NO TRADE: SL Entry: buy at market open,9_50_43_PM,0.0,NONE,,LONG,0R,0.0,0,930 no trade,True
70,entry_YESBANK_2018-12-18_9_54_06_PM.jpg,exit_YESBANK_2018-12-18_NONE.jpg,12/18/2018,YESBANK,None,None,15,0.0,203.0,SL Entry: short at market open. PREDEFINED LEVELS BASED ON DAILY,9_54_06_PM,196.0,NONE,,SHORT,0R,0.0,0,930 no trade. VIEW WAS CORRECT BUT PRICE DID NOT REACH THE LEVEL.,True
71,entry_DRREDDY_2018-12-18_9_59_53_PM.jpg,exit_DRREDDY_2018-12-18_NONE.jpg,12/18/2018,DRREDDY,None,None,4,2614.0,2585.0,Executed.SL Entry: long at market open. PREDEFINED LEVELS BASED ON DAILY,9_59_53_PM,2651.0,NONE,,LONG,1.28R,148.0,0,Executed... ideally not a good trade on long side.,True
72,entry_GAIL_2018-12-18_10_07_06_PM.jpg,NONE,12/18/2018,GAIL,None,None,17,0.0,370.7,NO TRADE: SL Entry: short at market open. PREDEFINED LEVELS BASED ON DAILY,10_07_06_PM,364.7,NONE,,SHORT,0R,0.0,0,930 no trade. IT COULD BE A BUY ENTRY TOO,True
73,entry_VEDL_2018-12-18_10_09_09_PM.jpg,NONE,12/18/2018,VEDL,None,None,34,203.5,200.5,NO TRADE: SL Entry: buy at market open.  PREDEFINED LEVELS BASED ON DAILY,10_09_09_PM,0.0,NONE,,LONG,0R,0.0,0,930 no trade,True
74,entry_SRTRANSFIN_2018-12-18_10_17_06_PM.jpg,exit_SRTRANSFIN_2018-12-18_NONE.jpg,12/18/2018,SRTRANSFIN,None,None,6,1236.0,1236.0,SL Hit EXECUTED: SL Entry: short at market open. PREDEFINED LEVELS BASED ON DAILY,10_17_06_PM,1220.0,NONE,,SHORT,-1R,-96.0,0,SL HIT. markets were in green.,True
75,entry_HEXAWARE_2018-12-18_10_23_33_PM.jpg,NONE,12/18/2018,HEXAWARE,None,None,27,0.0,353.2,NO TRADE: SL Entry: short at market open. PREDEFINED LEVELS BASED ON DAILY,10_23_33_PM,349.4,NONE,,SHORT,0R,0.0,0,930 no trade,True
76,entry_RELINFRA_2018-12-18_10_28_22_PM.jpg,NONE,12/18/2018,RELINFRA,None,None,23,286.7,282.2,NO TRADE: SL Entry: buy at market open.  PREDEFINED LEVELS BASED ON DAILY,10_28_22_PM,0.0,NONE,,LONG,0R,0.0,0,930 no trade,True
77,entry_VOLTAS_2018-12-18_10_30_55_PM.jpg,exit_VOLTAS_2018-12-18_NONE.jpg,12/18/2018,VOLTAS,None,None,13,575.6,575.6,EXECUTED SL Entry: short at market open. PREDEFINED LEVELS BASED ON DAILY,10_30_55_PM,567.7,NONE,,SHORT,-1R,-102.7,0,Shorting did not work for me. in trade now,True
78,entry_RAYMOND_2018-12-18_10_32_55_PM.jpg,NONE,12/18/2018,RAYMOND,None,None,10,820.3,810.0,NO TRADE SL Entry: buy at market open.  PREDEFINED LEVELS BASED ON DAILY,10_32_55_PM,0.0,NONE,,LONG,0R,0.0,0,930 no trade,True
79,entry_ACC_2018-12-18_10_37_13_PM.jpg,exit_ACC_2018-12-18_NONE.jpg,12/18/2018,ACC,None,None,6,1547.1,1547.1,SLHIT. SL Entry: short at market open. PREDEFINED LEVELS BASED ON DAILY,10_37_13_PM,1528.7,NONE,,SHORT,-1R,-110.4,0,930 no trade. Executed at 945. MARKETS  WERE IN GREEN. AND MY OPPOSITE POSITIONS TOOK SL.,True
80,entry_SRTRANFIN_2018-12-20_9_33_29_AM.jpg,exit_SRTRANFIN_2018-12-20_NONE.jpg,12/20/2018,SRTRANFIN,RED,DDOWN,8,1261.5,1293.0,near resistance. ,9_33_29_AM,1280.0,NONE,BOOKED AROUND EOD,SHORT,1.42R,148.0,10293,IT WENT UP THEN MOVED DOWN BASED ON MY ANALYSIS PER RESISTANCE.,True
81,entry_CHENNPETRO_2018-12-20_9_35_27_AM.jpg,exit_CHENNPETRO_2018-12-20_NONE.jpg,12/20/2018,CHENNPETRO,None,None,25,280.5,276.3,near support.,9_35_27_AM,289.7,NONE,,LONG,2.19R,230.0,10292,EARLIER I THOUGHT I MISSED BUT IT RETRACED AND THEN MOVED UP. GOOD TRADE,True
